order_id,customer_id,order_date,status,payment_method
O00001,C0247,2026-08-26,Returned,Net Banking
O00002,C0174,2025-06-04,Cancelled,COD
O00003,C0039,2026-03-24,Delivered,UPI
O00004,C0204,2026-07-31,Returned,Wallet
O00005,C0188,2026-05-27,Delivered,COD
O00006,C0008,2026-04-21,Delivered,Credit Card
O00007,C0233,2025-10-08,Delivered,Net Banking
O00008,C0300,2026-08-20,Delivered,Net Banking
O00009,C0056,2026-01-15,Shipped,COD
O00010,C0013,2026-01-16,Shipped,Wallet
O00011,C0168,2025-05-24,Cancelled,UPI
O00012,C0033,2025-03-20,Shipped,COD
O00013,C0155,2026-02-07,Shipped,Credit Card
O00014,C0072,2026-01-06,Delivered,Credit Card
O00015,C0156,2026-08-18,Returned,Credit Card
O00016,C0050,2025-08-31,Delivered,Wallet
O00017,C0070,2026-05-02,Delivered,Net Banking
O00018,C0277,2026-07-26,Delivered,Unknown
O00019,C0080,2025-09-22,Cancelled,Credit Card
O00020,C0251,2025-10-30,Shipped,Net Banking
O00021,C0017,2026-03-06,Shipped,UPI
O00022,C0228,2025-12-23,Delivered,UPI
O00023,C0186,2025-06-14,Delivered,Net Banking
O00024,C0279,2025-07-16,Cancelled,Net Banking
O00025,C0032,2026-06-18,Delivered,UPI
O00026,C0063,2025-07-02,Returned,COD
O00027,C0047,2025-06-25,Shipped,Wallet
O00028,C0011,2026-05-30,Delivered,Net Banking
O00029,C0125,2026-06-28,Returned,Wallet
O00030,C0106,2026-06-27,Delivered,Wallet
O00031,C0107,2026-08-10,Shipped,UPI
O00032,C0169,2026-09-13,Processing,Wallet
O00033,C0002,2025-11-25,Delivered,UPI
O00034,C0067,2026-01-13,Delivered,UPI
O00035,C0057,2025-08-24,Shipped,Credit Card
O00036,C0068,2025-04-23,Delivered,Unknown
O00037,C0122,2025-05-10,Shipped,Credit Card
O00038,C0090,2026-04-19,Delivered,UPI
O00039,C0216,2025-12-09,Delivered,Credit Card
O00040,C0244,2025-09-15,Delivered,Net Banking
O00041,C0263,2025-05-27,Shipped,COD
O00042,C0258,2026-03-12,Delivered,Wallet
O00043,C0023,2025-05-11,Processing,Wallet
O00044,C0155,2026-02-20,Delivered,Credit Card
O00045,C0032,2026-07-24,Returned,COD
O00046,C0219,2025-09-08,Shipped,COD
O00047,C0228,2025-11-19,Delivered,Credit Card
O00048,C0165,2026-02-18,Shipped,Credit Card
O00049,C0065,2025-09-01,Delivered,Wallet
O00050,C0281,2026-02-01,Processing,COD
O00051,C0272,2026-01-21,Delivered,Wallet
O00052,C0221,2025-10-03,Delivered,Credit Card
O00053,C0283,2025-09-07,Processing,UPI
O00054,C0221,2025-11-07,Delivered,Unknown
O00055,C0117,2025-03-20,Delivered,COD
O00056,C0205,2025-07-30,Delivered,Credit Card
O00057,C0161,2025-07-17,Delivered,Net Banking
O00058,C0192,2026-04-27,Returned,COD
O00059,C0035,2025-11-11,Delivered,Credit Card
O00060,C0048,2026-06-21,Delivered,Net Banking
O00061,C0067,2025-05-30,Shipped,Wallet
O00062,C0288,2026-04-23,Shipped,Credit Card
O00063,C0211,2026-07-12,Delivered,COD
O00064,C0027,2025-11-26,Returned,Wallet
O00065,C0160,2025-09-30,Delivered,Wallet
O00066,C0260,2025-09-01,Delivered,COD
O00067,C0115,2026-01-14,Cancelled,Net Banking
O00068,C0285,2025-06-22,Delivered,Net Banking
O00069,C0294,2026-02-13,Delivered,COD
O00070,C0288,2026-06-22,Returned,Wallet
O00071,C0286,2026-07-01,Delivered,Net Banking
O00072,C0015,2025-06-02,Delivered,Unknown
O00073,C0159,2026-01-07,Returned,Net Banking
O00074,C0004,2025-08-09,Delivered,UPI
O00075,C0290,2026-07-16,Shipped,Credit Card
O00076,C0073,2025-04-28,Processing,Credit Card
O00077,C0047,2025-04-28,Processing,UPI
O00078,C0193,2025-03-28,Delivered,Net Banking
O00079,C0081,2025-12-20,Delivered,Net Banking
O00080,C0291,2025-04-04,Shipped,Credit Card
O00081,C0080,2026-01-30,Delivered,Wallet
O00082,C0026,2025-10-26,Shipped,Net Banking
O00083,C0227,2026-02-04,Shipped,COD
O00084,C0227,2026-07-27,Delivered,UPI
O00085,C0263,2026-01-14,Delivered,COD
O00086,C0057,2026-01-09,Delivered,Wallet
O00087,C0250,2026-09-16,Delivered,Net Banking
O00088,C0024,2025-12-01,Delivered,Wallet
O00089,C0029,2026-05-16,Delivered,Net Banking
O00090,C0109,2025-10-04,Processing,Unknown
O00091,C0131,2025-07-18,Delivered,Credit Card
O00092,C0004,2026-05-15,Delivered,COD
O00093,C0090,2026-04-23,Delivered,Wallet
O00094,C0118,2025-08-24,Delivered,Net Banking
O00095,C0037,2025-11-27,Delivered,Credit Card
O00096,C0224,2025-12-22,Delivered,Credit Card
O00097,C0161,2025-10-21,Shipped,Wallet
O00098,C0208,2025-12-18,Processing,COD
O00099,C0149,2026-03-16,Delivered,Credit Card
O00100,C0167,2026-06-25,Delivered,Wallet
O00102,C0046,2026-02-17,Delivered,Credit Card
O00103,C0125,2025-06-16,Delivered,COD
O00104,C0269,2025-12-24,Delivered,Net Banking
O00105,C0174,2025-11-17,Delivered,UPI
