customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C0001,5,1,4020.0,5,1,1,511,New Customers
C0002,252,2,6898.45,2,1,1,211,Lost
C0003,509,1,6460.0,1,1,1,111,Lost
C0004,4,5,46941.3,5,5,5,555,Champions
C0005,83,8,59760.0,4,5,5,455,Champions
C0006,375,2,19265.0,1,1,3,113,Lost
C0007,384,1,3420.0,1,1,1,111,Lost
C0008,149,1,6964.0,3,1,1,311,Potential Loyalists
C0009,2,8,103834.3,5,5,5,555,Champions
C0010,434,1,10120.0,1,1,1,111,Lost
C0011,73,2,27557.0,4,2,4,424,New Customers
C0012,70,2,11724.0,4,2,2,422,New Customers
C0013,244,3,15170.5,2,3,2,232,Potential Loyalists
C0014,110,3,39495.25,3,3,4,334,Potential Loyalists
C0015,472,1,14600.0,1,1,2,112,Lost
C0016,148,5,48686.9,3,5,5,355,Potential Loyalists
C0017,9,8,57425.05,5,5,5,555,Champions
C0018,104,2,17502.0,4,2,2,422,New Customers
C0019,116,1,2100.0,3,1,1,311,Potential Loyalists
C0020,458,1,3971.0,1,1,1,111,Lost
C0021,91,3,15988.5,4,3,2,432,Potential Loyalists
C0022,135,3,24717.5,3,3,3,333,Potential Loyalists
C0023,99,4,5480.2,4,4,1,441,Potential Loyalists
C0024,41,4,33582.5,5,4,4,544,Champions
C0025,280,2,12969.5,2,2,2,222,Lost
C0026,20,4,35977.5,5,4,4,544,Champions
C0027,190,4,21405.0,2,4,3,243,At Risk
C0028,281,1,14140.0,2,1,2,212,Lost
C0029,124,3,29178.0,3,3,4,334,Potential Loyalists
C0030,119,4,47673.5,3,4,5,345,Potential Loyalists
C0031,107,4,25366.5,3,4,3,343,Potential Loyalists
C0032,55,6,27241.5,4,5,3,453,Potential Loyalists
C0033,150,3,23230.0,3,3,3,333,Potential Loyalists
C0034,116,2,7816.0,3,2,1,321,Potential Loyalists
C0035,187,2,29748.0,2,2,4,224,Lost
C0037,95,3,28881.5,4,3,4,434,Potential Loyalists
C0038,545,1,5121.0,1,1,1,111,Lost
C0039,95,4,47835.5,4,4,5,445,Champions
C0040,206,6,44489.0,2,5,5,255,At Risk
C0041,180,3,37089.0,3,3,4,334,Potential Loyalists
C0042,38,2,3253.5,5,2,1,521,New Customers
C0043,27,4,65322.5,5,4,5,545,Champions
C0044,94,4,54014.9,4,4,5,445,Champions
C0045,96,2,6426.0,4,2,1,421,New Customers
C0046,24,4,33344.5,5,4,4,544,Champions
C0047,171,5,43232.0,3,5,5,355,Potential Loyalists
C0048,41,6,19950.4,5,5,3,553,Potential Loyalists
C0049,399,3,19629.5,1,3,3,133,Potential Loyalists
C0050,382,1,3932.0,1,1,1,111,Lost
C0051,395,3,30291.5,1,3,4,134,Potential Loyalists
C0052,72,4,67353.0,4,4,5,445,Champions
C0053,50,6,76791.5,4,5,5,455,Champions
C0054,93,1,342.0,4,1,1,411,New Customers
C0055,148,2,22437.0,3,2,3,323,Potential Loyalists
C0056,200,4,63462.0,2,4,5,245,At Risk
