order_item_id,order_id,product_id,quantity,discount_pct
OI000001,O00001,PR016,4.0,0.0
OI000002,O00002,PR075,5.0,0.1
OI000003,O00002,PR010,4.0,0.0
OI000004,O00002,PR065,1.0,0.2
OI000005,O00003,PR068,3.0,0.05
OI000006,O00003,PR007,2.0,0.0
OI000007,O00004,PR044,4.0,0.1
OI000008,O00004,PR059,2.0,0.0
OI000009,O00004,PR024,1.0,0.05
OI000010,O00004,PR043,2.0,0.0
OI000011,O00005,PR001,4.0,0.0
OI000012,O00005,PR027,2.0,0.1
OI000013,O00006,PR063,1.0,0.0
OI000014,O00006,PR079,4.0,0.15
OI000015,O00007,PR055,4.0,0.05
OI000016,O00008,PR069,2.0,0.15
OI000017,O00009,PR002,3.0,0.2
OI000018,O00010,PR025,1.0,0.15
OI000019,O00010,PR001,2.0,0.0
OI000020,O00010,PR045,3.0,0.0
OI000021,O00011,PR065,5.0,0.0
OI000022,O00012,PR006,3.0,0.0
OI000023,O00013,PR067,5.0,0.1
OI000024,O00014,PR018,3.0,0.05
OI000025,O00015,PR025,2.0,0.2
OI000026,O00016,PR030,2.0,0.15
OI000027,O00017,PR028,1.0,0.1
OI000028,O00017,PR065,2.0,0.0
OI000029,O00017,PR047,1.0,0.05
OI000030,O00017,PR033,5.0,0.1
OI000031,O00018,PR007,1.0,0.15
OI000032,O00019,PR007,1.0,0.05
OI000033,O00019,PR057,4.0,0.0
OI000034,O00019,PR071,3.0,0.05
OI000035,O00020,PR027,1.0,0.0
OI000036,O00020,PR054,1.0,0.15
OI000037,O00021,PR080,5.0,0.15
OI000038,O00021,PR018,4.0,0.2
OI000039,O00022,PR066,5.0,0.0
OI000040,O00022,PR037,1.0,0.2
OI000041,O00022,PR014,4.0,0.0
OI000042,O00023,PR034,5.0,0.0
OI000043,O00023,PR046,4.0,0.0
OI000044,O00024,PR071,4.0,0.0
OI000045,O00025,PR062,3.0,0.0
OI000046,O00025,PR001,1.0,0.15
OI000047,O00026,PR015,5.0,0.15
OI000048,O00027,PR012,5.0,0.0
OI000049,O00028,PR013,3.0,0.15
OI000050,O00028,PR030,,0.0
OI000051,O00029,PR999,1.0,0.2
OI000052,O00030,PR006,3.0,0.0
OI000053,O00031,PR041,4.0,0.15
OI000054,O00031,PR015,1.0,0.2
OI000055,O00031,PR006,1.0,0.2
OI000056,O00032,PR022,3.0,0.0
OI000057,O00033,PR080,3.0,0.15
OI000058,O00033,PR012,3.0,0.2
OI000059,O00033,PR044,2.0,0.0
OI000060,O00034,PR059,3.0,0.2
OI000061,O00035,PR062,4.0,0.15
OI000062,O00036,PR022,1.0,0.0
OI000063,O00036,PR008,2.0,0.0
OI000064,O00036,PR054,5.0,0.05
OI000065,O00037,PR057,2.0,0.1
OI000066,O00037,PR049,3.0,0.1
OI000067,O00037,PR004,2.0,0.05
OI000068,O00038,PR015,4.0,0.05
OI000069,O00038,PR006,1.0,0.0
OI000070,O00038,PR041,1.0,0.15
OI000071,O00039,PR068,5.0,0.15
OI000072,O00039,PR073,2.0,0.15
OI000073,O00039,PR044,5.0,0.1
OI000074,O00040,PR080,1.0,0.05
OI000075,O00040,PR032,4.0,0.0
OI000076,O00041,PR050,2.0,0.2
OI000077,O00041,PR072,5.0,0.0
OI000078,O00042,PR021,5.0,0.2
OI000079,O00043,PR064,2.0,0.0
OI000080,O00044,PR042,2.0,0.0
OI000081,O00044,PR036,1.0,0.1
OI000082,O00045,PR049,4.0,0.2
OI000083,O00046,PR059,4.0,0.2
OI000084,O00047,PR012,4.0,0.05
OI000085,O00047,PR041,1.0,0.05
OI000086,O00048,PR003,1.0,0.05
OI000087,O00048,PR053,1.0,0.1
OI000088,O00049,PR012,5.0,0.1
OI000089,O00049,PR039,5.0,0.1
OI000090,O00050,PR059,3.0,0.0
OI000091,O00051,PR029,4.0,0.0
OI000092,O00051,PR072,5.0,0.1
OI000093,O00051,PR061,3.0,0.15
OI000094,O00052,PR013,2.0,0.0
OI000095,O00053,PR038,5.0,0.1
OI000096,O00054,PR014,1.0,0.0
OI000097,O00055,PR053,1.0,0.0
OI000098,O00056,PR025,1.0,0.2
OI000099,O00056,PR051,2.0,0.05
OI000100,O00057,PR025,,0.0
OI000101,O00057,PR054,1.0,0.15
OI000102,O00057,PR076,1.0,0.2
OI000103,O00058,PR059,5.0,0.1
OI000104,O00058,PR018,4.0,0.0
OI000105,O00058,PR068,1.0,0.1
OI000106,O00059,PR075,4.0,0.1
OI000107,O00059,PR023,5.0,0.0
OI000108,O00059,PR017,1.0,0.05
OI000109,O00060,PR078,3.0,0.1
OI000110,O00060,PR050,4.0,0.1
OI000111,O00061,PR032,3.0,0.05
OI000112,O00061,PR044,3.0,0.05
OI000113,O00061,PR018,2.0,0.05
OI000114,O00062,PR066,3.0,0.2
OI000115,O00062,PR071,3.0,0.15
OI000116,O00063,PR071,2.0,0.0
OI000117,O00063,PR027,5.0,0.15
OI000118,O00064,PR045,2.0,0.15
OI000119,O00065,PR023,5.0,0.1
OI000120,O00065,PR042,1.0,0.2
OI000121,O00066,PR062,5.0,0.1
OI000122,O00067,PR054,5.0,0.0
OI000123,O00067,PR055,1.0,0.1
OI000124,O00067,PR014,1.0,0.05
OI000125,O00068,PR008,2.0,0.0
OI000126,O00069,PR021,3.0,0.15
OI000127,O00069,PR033,2.0,0.2
OI000128,O00070,PR038,2.0,0.2
OI000129,O00071,PR046,4.0,0.0
OI000130,O00071,PR079,5.0,0.2
OI000131,O00072,PR072,4.0,0.0
OI000132,O00073,PR037,1.0,0.05
OI000133,O00073,PR050,4.0,0.2
OI000134,O00074,PR041,5.0,0.0
OI000135,O00074,PR002,3.0,0.0
OI000136,O00074,PR080,4.0,0.2
OI000137,O00074,PR029,3.0,0.2
OI000138,O00075,PR078,2.0,0.2
OI000139,O00075,PR025,3.0,0.05
OI000140,O00076,PR010,2.0,0.0
OI000141,O00077,PR016,4.0,0.0
OI000142,O00077,PR055,3.0,0.1
OI000143,O00078,PR021,5.0,0.2
OI000144,O00079,PR043,4.0,0.15
OI000145,O00080,PR006,2.0,0.0
OI000146,O00080,PR077,1.0,0.2
OI000147,O00080,PR005,5.0,0.2
OI000148,O00081,PR063,5.0,0.1
OI000149,O00081,PR046,1.0,0.2
OI000150,O00082,PR068,,0.0
OI000151,O00082,PR067,1.0,0.2
OI000152,O00083,PR054,5.0,0.1
OI000153,O00083,PR052,1.0,0.0
OI000154,O00084,PR028,3.0,0.0
OI000155,O00085,PR028,5.0,0.1
OI000156,O00086,PR072,1.0,0.0
OI000157,O00087,PR058,2.0,0.15
OI000158,O00087,PR079,5.0,0.0
OI000159,O00088,PR042,4.0,0.2
OI000160,O00088,PR015,4.0,0.0
OI000161,O00088,PR070,3.0,0.0
OI000162,O00088,PR067,3.0,0.1
OI000163,O00089,PR058,4.0,0.0
OI000164,O00089,PR038,2.0,0.0
OI000165,O00089,PR066,1.0,0.0
OI000166,O00090,PR069,5.0,0.0
OI000167,O00091,PR027,2.0,0.2
OI000168,O00091,PR055,1.0,0.0
OI000169,O00092,PR056,1.0,0.15
OI000170,O00092,PR020,1.0,0.05
OI000171,O00093,PR005,1.0,0.0
OI000172,O00093,PR007,2.0,0.2
OI000173,O00094,PR010,5.0,0.2
OI000174,O00095,PR034,4.0,0.05
OI000175,O00096,PR052,4.0,0.0
OI000176,O00097,PR016,5.0,0.0
OI000177,O00098,PR080,1.0,0.2
OI000178,O00098,PR075,1.0,0.15
OI000179,O00099,PR046,5.0,0.0
OI000180,O00099,PR038,3.0,0.1
OI000181,O00099,PR012,3.0,0.2
OI000182,O00100,PR049,4.0,0.2
OI000183,O00100,PR004,4.0,0.0
OI000184,O00100,PR069,2.0,0.0
OI000185,O00101,PR070,3.0,0.15
OI000186,O00101,PR019,3.0,0.15
OI000187,O00102,PR048,1.0,0.1
OI000188,O00102,PR072,2.0,0.0
OI000189,O00102,PR006,1.0,0.1
OI000190,O00103,PR069,5.0,0.0
OI000191,O00103,PR040,2.0,0.15
OI000192,O00104,PR045,2.0,0.05
OI000193,O00104,PR066,2.0,0.0
OI000194,O00105,PR079,3.0,0.0
OI000195,O00106,PR073,1.0,0.2
OI000196,O00107,PR071,4.0,0.15
OI000197,O00107,PR071,1.0,0.0
OI000198,O00108,PR033,1.0,0.0
